Year,Round,Region Number,Region Name,Seed1,Team1,Team2,Seed2
2024,1,1,East,1,Alabama,Texas A&M Corpus Chris,16
2024,1,1,East,2,Arizona,Princeton,15
2024,1,1,East,3,Baylor,UC Santa Barbara,14
2024,1,1,East,4,Virginia,Furman,13
2024,1,1,East,5,San Diego St,Charleston,12
2024,1,1,East,6,Creighton,North Carolina St,11
2024,1,1,East,7,Missouri,Utah St,10
2024,1,1,East,8,Maryland,West Virginia,9
2024,1,2,Midwest,1,Purdue,Fairleigh Dickinson,16
2024,1,2,Midwest,2,Marquette,Vermont,15
2024,1,2,Midwest,3,Kansas St,Montana St,14
2024,1,2,Midwest,4,Tennessee,Louisiana,13
2024,1,2,Midwest,5,Duke,Oral Roberts,12
2024,1,2,Midwest,6,Kentucky,Providence,11
,1,2,Midwest,7,Michigan St,USC,10
2024,1,2,Midwest,8,Memphis,Florida Atlantic,9
2024,1,3,South,1,Houston,Northern Kentucky,16
2024,1,3,South,2,Texas,Colgate,15
2024,1,3,South,3,Xavier,Kennesaw St,14
2024,1,3,South,4,Indiana,Kent St,13
2024,1,3,South,5,Miami FL,Drake,12
2024,1,3,South,6,Iowa St,Pittsburgh,11
,1,3,South,7,Texas A&M,Penn State,10
2024,1,3,South,8,Iowa,Auburn,9
2024,1,4,West,1,Kansas,Howard,16
2024,1,4,West,2,UCLA,UNC Asheville,15
2024,1,4,West,3,Gonzaga,Grand Canyon,14
2024,1,4,West,4,Connecticut,Iona,13
2024,1,4,West,5,Saint Marys,VCU,12
2024,1,4,West,6,TCU,Arizona St,11
2024,1,4,West,7,Northwestern,Boise St,10
2024,1,4,West,8,Arkansas,Illinois,9
