Round,Seed1,Team1,Team2,Seed2,Result
1,1,North Carolina,Mount St Marys,16,1
1,2,Tennessee,American,15,1
1,3,Louisville,Boise St,14,1
1,4,Washington St,Winthrop,13,1
1,5,Notre Dame,George Mason,12,1
1,6,Oklahoma,St Josephs,11,1
1,7,Butler,South Alabama,10,1
1,8,Indiana,Arkansas,9,0
1,1,Kansas,Portland St,16,1
1,2,Georgetown,UMBC,15,1
1,3,Wisconsin,Cal St Fullerton,14,1
1,4,Vanderbilt,Siena,13,0
1,5,Clemson,Villanova,12,0
1,6,USC,Kansas St,11,0
1,7,Gonzaga,Davidson,10,0
1,8,UNLV,Kent St,9,1
1,1,Memphis,Texas Arlington,16,1
1,2,Texas,Austin Peay,15,1
1,3,Stanford,Cornell,14,1
1,4,Pittsburgh,Oral Roberts,13,1
1,5,Michigan St,Temple,12,1
1,6,Marquette,Kentucky,11,1
1,7,Miami,St Marys,10,1
1,8,Mississippi St,Oregon,9,1
1,1,UCLA,Mississippi Valley St,16,1
1,2,Duke,Belmont,15,1
1,3,Xavier,Georgia,14,1
1,4,Connecticut,San Diego,13,0
1,5,Drake,Western Kentucky,12,0
1,6,Purdue,Baylor,11,1
1,7,West Virginia,Arizona,10,1
1,8,BYU,Texas A&M,9,0
2,1,North Carolina,Arkansas,9,1
2,2,Tennessee,Butler,7,1
2,3,Louisville,Oklahoma,6,1
2,4,Washington St,Notre Dame,5,1
2,1,Kansas,UNLV,8,1
2,2,Georgetown,Davidson,10,0
2,3,Wisconsin,Kansas St,11,1
2,13,Siena,Villanova,12,0
2,1,Memphis,Mississippi St,8,1
2,2,Texas,Miami,7,1
2,3,Stanford,Marquette,6,1
2,4,Pittsburgh,Michigan St,5,0
2,1,UCLA,Texas A&M,9,1
2,2,Duke,West Virginia,7,0
2,3,Xavier,Purdue,6,1
2,13,San Diego,Western Kentucky,12,0
3,1,North Carolina,Washington St,4,1
3,2,Tennessee,Louisville,3,0
3,1,Kansas,Villanova,12,1
3,10,Davidson,Wisconsin,3,1
3,1,Memphis,Michigan St,5,1
3,2,Texas,Stanford,3,1
3,1,UCLA,Western Kentucky,12,1
3,7,West Virginia,Xavier,3,0
4,1,North Carolina,Louisville,3,1
4,1,Kansas,Davidson,10,1
4,1,Memphis,Texas,2,1
4,1,UCLA,Xavier,3,1
5,1,North Carolina,Kansas,1,0
5,1,Memphis,UCLA,1,1
6,1,Kansas,Memphis,1,1
1,1,Louisville,Morehead St,16,1
1,2,Michigan St,Robert Morris,15,1
1,3,Kansas,North Dakota St,14,1
